timestep,reward,baseline_cost,agent_cost,residential_building_battery_P,residential_building_pv_P,residential_building_electrical_load_P,residential_building_battery_SOC
2015-03-16 12:15:00,0.0,0.08234244270503378,0.08234244270503378,0.0,5.578329740837279,1.46120760558559,0.0
2015-03-16 12:30:00,0.0,0.07718372840677687,0.07718372840677687,0.0,5.358794225797474,1.4996078054586301,0.0
2015-03-16 12:45:00,0.0,0.07176186048246104,0.07176186048246104,0.0,5.108100935764232,1.52000791164118,0.0
2015-03-16 13:00:00,0.0,0.07324409094015057,0.07324409094015057,0.0,5.175412423254528,1.5132078762469998,0.0
2015-03-16 13:15:00,0.0,0.06820592396821364,0.06820592396821364,0.0,4.895503928916922,1.4852077305062399,0.0
2015-03-16 13:30:00,-1.3877787807814457e-17,0.06316827462443914,0.06316827462443912,0.0,4.601621243117056,1.4432075118950998,0.0
2015-03-16 13:45:00,0.0,0.058017521199886145,0.058017521199886145,0.0,4.299283338704197,1.39840727870989,0.0
2015-03-16 14:00:00,0.0,0.05112301441330325,0.05112301441330325,0.0,3.9113577745178825,1.3552070538527201,0.0
2015-03-16 14:15:00,0.0,0.04483826591836028,0.04483826591836028,0.0,3.559120151979704,1.3172068560616903,0.0
2015-03-16 14:30:00,0.0,0.037267499319331446,0.037267499319331446,0.0,3.1453816388113025,1.2820066728447301,0.0
2015-03-16 14:45:00,0.0,0.024934551519289753,0.024934551519289753,0.0,2.4951340739203074,1.2484064979558198,0.0
2015-03-16 15:00:00,0.0,0.023974492968080865,0.023974492968080865,0.0,2.4155309818810133,1.21680633347697,0.0
2015-03-16 15:15:00,0.0,0.030605640514203385,0.030605640514203385,0.0,2.719888217610399,1.1896061919002299,0.0
2015-03-16 15:30:00,1.734723475976807e-18,0.01426019181981075,0.014260191819810752,0.0,1.8802156662981575,1.1672060753076199,0.0
2015-03-16 15:45:00,0.0,0.0033445210474396213,0.0033445210474396213,0.0,1.322032063137271,1.15480601076529,0.0
